--------------------------------------------------------------------------------
Process Log at Sun Apr  5 21:47:30 2020
--------------------------------------------------------------------------------
{'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12236, 'vms': 3.9921875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12448, 'vms': 19.13671875}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 12588, 'vms': 5.2578125}
{'name': 'SearchFilterHost.exe', 'username': None, 'pid': 12808, 'vms': 1.53125}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12888, 'vms': 1.84375}
{'name': 'SettingSyncHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 12988, 'vms': 7.44921875}
{'name': 'svchost.exe', 'username': None, 'pid': 13016, 'vms': 1.9453125}
{'name': 'taskhostw.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13104, 'vms': 5.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 13128, 'vms': 3.625}
{'name': 'aswidsagent.exe', 'username': None, 'pid': 13320, 'vms': 42.87890625}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13376, 'vms': 3.8828125}
{'name': 'dllhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13388, 'vms': 2.8828125}
{'name': 'ApplicationFrameHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13632, 'vms': 21.20703125}
{'name': 'sihost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 13956, 'vms': 7.828125}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 14056, 'vms': 27.02734375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 14176, 'vms': 27.58203125}
{'name': 'PSSvc.exe', 'username': None, 'pid': 14472, 'vms': 18.390625}
{'name': 'svchost.exe', 'username': None, 'pid': 14580, 'vms': 2.0703125}
{'name': 'svchost.exe', 'username': None, 'pid': 14764, 'vms': 3.13671875}
{'name': 'unsecapp.exe', 'username': None, 'pid': 14888, 'vms': 1.7109375}
{'name': 'EpicGamesLauncher.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15048, 'vms': 154.921875}
{'name': 'SystemSettings.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15112, 'vms': 23.85546875}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15232, 'vms': 33.77734375}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 15244, 'vms': 12.29296875}
