--------------------------------------------------------------------------------
Process Log at Mon Dec 16 09:54:18 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 5896, 'vms': 8.9140625}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 6068, 'vms': 3.73828125}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 6268, 'vms': 37.2890625}
{'name': 'svchost.exe', 'username': None, 'pid': 6472, 'vms': 1.8046875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 6848, 'vms': 12.16796875}
{'name': 'svchost.exe', 'username': None, 'pid': 6920, 'vms': 3.30078125}
{'name': 'aswidsagent.exe', 'username': None, 'pid': 7104, 'vms': 33.4765625}
{'name': 'dllhost.exe', 'username': None, 'pid': 7260, 'vms': 3.6015625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7384, 'vms': 6.51953125}
{'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7388, 'vms': 10.04296875}
{'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7396, 'vms': 19.23046875}
{'name': 'sihost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7404, 'vms': 7.48828125}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7424, 'vms': 10.12109375}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7468, 'vms': 12.07421875}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 7488, 'vms': 24.93359375}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7540, 'vms': 3.9921875}
{'name': 'GoogleCrashHandler.exe', 'username': None, 'pid': 7560, 'vms': 1.90234375}
{'name': 'taskhostw.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7584, 'vms': 9.0234375}
{'name': 'svchost.exe', 'username': None, 'pid': 7640, 'vms': 4.0859375}
{'name': 'svchost.exe', 'username': None, 'pid': 7716, 'vms': 2.0078125}
{'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7824, 'vms': 4.921875}
{'name': 'AiSquared.Loader.Generic.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 7964, 'vms': 38.80078125}
{'name': 'GoogleCrashHandler64.exe', 'username': None, 'pid': 8036, 'vms': 1.85546875}
{'name': 'igfxEM.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8052, 'vms': 3.91015625}
{'name': 'svchost.exe', 'username': None, 'pid': 8080, 'vms': 5.00390625}
{'name': 'svchost.exe', 'username': None, 'pid': 8184, 'vms': 5.17578125}
{'name': 'NVIDIA Web Helper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8300, 'vms': 37.4296875}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8328, 'vms': 6.55078125}
{'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8336, 'vms': 14.96484375}
{'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8412, 'vms': 31.1875}
{'name': 'StartMenuExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8628, 'vms': 31.1015625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8636, 'vms': 4.76953125}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8760, 'vms': 7.6484375}
{'name': 'SearchUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8880, 'vms': 75.546875}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 8928, 'vms': 3.8515625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9112, 'vms': 9.21484375}
{'name': 'SkypeBackgroundHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9296, 'vms': 2.02734375}
{'name': 'SettingSyncHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9348, 'vms': 6.84765625}
{'name': 'ZtUac64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9504, 'vms': 1.5859375}
{'name': 'nvsphelper64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9900, 'vms': 2.8203125}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 9912, 'vms': 29.2890625}
{'name': 'svchost.exe', 'username': None, 'pid': 10040, 'vms': 3.2578125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10064, 'vms': 63.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 10096, 'vms': 3.45703125}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10336, 'vms': 42.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 10412, 'vms': 2.5390625}
{'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10544, 'vms': 55.21484375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10632, 'vms': 26.51953125}
{'name': 'SecurityHealthSystray.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10752, 'vms': 2.17578125}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 10776, 'vms': 4.1640625}
{'name': 'RAVCpl64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10856, 'vms': 4.484375}
{'name': 'SkypeApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10864, 'vms': 162.734375}
{'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10940, 'vms': 6.52734375}
{'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 10992, 'vms': 6.28125}
