--------------------------------------------------------------------------------
Process Log at Sun Apr  5 21:37:00 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 11492, 'name': 'svchost.exe', 'username': None, 'vms': 5.85546875}
{'pid': 11560, 'name': 'aswEngSrv.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 47.828125}
{'pid': 11620, 'name': 'DolbyDAX2API.exe', 'username': None, 'vms': 29.125}
{'pid': 11740, 'name': 'LMS.exe', 'username': None, 'vms': 4.11328125}
{'pid': 11812, 'name': 'svchost.exe', 'username': None, 'vms': 4.51953125}
{'pid': 12236, 'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.9921875}
{'pid': 12360, 'name': 'SearchProtocolHost.exe', 'username': None, 'vms': 2.5625}
{'pid': 12588, 'name': 'SecurityHealthService.exe', 'username': None, 'vms': 5.29296875}
{'pid': 12888, 'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.84375}
{'pid': 12988, 'name': 'SettingSyncHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.6171875}
{'pid': 13016, 'name': 'svchost.exe', 'username': None, 'vms': 1.96875}
{'pid': 13104, 'name': 'taskhostw.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.3125}
{'pid': 13128, 'name': 'svchost.exe', 'username': None, 'vms': 3.6484375}
{'pid': 13320, 'name': 'aswidsagent.exe', 'username': None, 'vms': 42.8828125}
{'pid': 13376, 'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.87109375}
{'pid': 13388, 'name': 'dllhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.6875}
{'pid': 13632, 'name': 'ApplicationFrameHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 21.20703125}
{'pid': 13956, 'name': 'sihost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.65625}
{'pid': 14056, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 14.66796875}
{'pid': 14472, 'name': 'PSSvc.exe', 'username': None, 'vms': 18.390625}
{'pid': 14580, 'name': 'svchost.exe', 'username': None, 'vms': 2.0703125}
{'pid': 14764, 'name': 'svchost.exe', 'username': None, 'vms': 3.08203125}
{'pid': 14888, 'name': 'unsecapp.exe', 'username': None, 'vms': 1.7109375}
{'pid': 15048, 'name': 'EpicGamesLauncher.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 154.921875}
{'pid': 15112, 'name': 'SystemSettings.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.85546875}
{'pid': 15244, 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.2890625}
{'pid': 15280, 'name': 'svchost.exe', 'username': None, 'vms': 3.296875}
